TIME;0;1092;2131;3172;4215;5044;5264
MEMORY;START;22;43;40;43;24;END
TIME;0;1080;2144;3190;4234;5214;5279
MEMORY;START;29;66;48;47;24;END
TIME;0;1090;2148;3187;4231;5169;5277
MEMORY;START;29;69;50;37;24;END
TIME;0;1133;2191;3230;4272;5316;5660;6365
MEMORY;START;29;64;40;41;35;24;END
TIME;0;1093;2141;3189;4231;5274;5618;6320
MEMORY;START;22;58;39;43;34;24;END
TIME;0;1130;2184;3228;4270;5314;5399;6370
MEMORY;START;21;61;45;42;30;24;END
TIME;1;1096;2136;3184;4228;5271;5293;6320
MEMORY;START;22;38;40;47;30;24;END
TIME;0;1088;2149;3195;4245;5289;5654;6344
MEMORY;START;22;64;53;48;43;24;END
TIME;0;1082;2143;3186;4229;5271;5472;6328
MEMORY;START;29;61;41;42;32;24;END
TIME;0;1033;2128;3178;4222;5268;5337;6317
MEMORY;START;23;65;41;40;30;24;END
