TIME;0;1087;2134;2634;3176
MEMORY;START;28;32;23;END
TIME;0;1088;2129;2479;3173
MEMORY;START;25;32;23;END
TIME;0;1101;2151;2526;3200
MEMORY;START;22;32;23;END
TIME;0;1082;2122;2372;3167
MEMORY;START;25;32;23;END
TIME;0;1085;2132;2801;3177
MEMORY;START;28;32;23;END
TIME;1;1089;2137;2723;3181
MEMORY;START;27;32;23;END
TIME;0;1109;2153;2580;3202
MEMORY;START;25;32;23;END
TIME;0;1083;2125;2577;3168
MEMORY;START;29;32;23;END
TIME;0;1083;2128;2619;3173
MEMORY;START;29;32;23;END
TIME;0;1089;2133;2661;3181
MEMORY;START;29;32;23;END
