TIME;0;1104;2148;3184;4237;5312;6413;7518;8646;9785;10989;12187;13347;14470;15590;16713;17833;18947;20071;21185;22300;23429;24553;25672;26790;27899;29010;30136;31249;32358;33468;34581;35213;35627
MEMORY;START;55;57;57;108;521;1016;1475;1925;2230;4071;6660;4519;2296;2296;2296;2296;2296;2296;2296;2295;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1089;2159;3240;4338;5449;6570;7731;8925;10120;11271;12396;13523;14657;15787;16917;18042;19163;20287;21409;22533;23657;24790;25924;27046;28169;29285;30411;31536;32668;33475;33710
MEMORY;START;61;219;687;1159;1666;2116;3266;5173;6660;4519;2296;2263;2296;2296;2296;2295;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1090;2134;3199;4288;5392;6517;7645;8833;10017;11170;12288;13413;14532;15661;16797;17935;19049;20165;21299;22432;23547;24674;25796;26911;28027;29157;30274;31392;32512;33636;34150;34681
MEMORY;START;21;61;443;924;1414;1900;2271;4522;6660;4995;2295;2296;2295;2296;2295;2296;2296;2295;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1081;2127;3194;4289;5401;6523;7658;8835;10053;11219;12338;13454;14569;15693;16808;17924;19054;20183;21304;22425;23539;24656;25781;26892;28022;29146;30260;31392;32526;33319;33570
MEMORY;START;28;62;503;999;1501;1972;2271;4328;6660;4518;2295;2295;2296;2296;2295;2295;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1088;2147;3218;4308;5405;6511;7641;8820;10010;11169;12291;13406;14542;15658;16793;17907;19036;20172;21295;22405;23522;24654;25786;26911;28028;29157;30284;31410;32522;33139;33567
MEMORY;START;61;110;556;985;1427;1886;2255;4383;6660;4517;2296;2296;2296;2297;2295;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1088;2146;3218;4311;5416;6538;7673;8839;10049;11213;12335;13460;14580;15699;16816;17950;19083;20201;21314;22449;23571;24702;25818;26938;28050;29169;30289;31413;32520;33022;33566
MEMORY;START;21;122;565;993;1447;1919;2257;4288;6660;4517;2296;2295;2296;2296;2296;2296;2296;2295;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1093;2146;3223;4316;5425;6542;7705;8922;10107;11269;12383;13502;14623;15743;16862;17977;19091;20210;21320;22436;23545;24662;25773;26887;28000;29110;30232;31350;32461;32596;33506
MEMORY;START;29;74;546;1032;1560;2062;3058;6179;6660;4518;2296;2296;2296;2263;2296;2295;2295;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1086;2157;3234;4333;5444;6571;7733;8932;10090;11217;12346;13469;14592;15715;16825;17952;19067;20185;21300;22426;23550;24664;25781;26892;28007;29114;30235;31349;31528;32393
MEMORY;START;57;181;647;1159;1658;2157;3860;6660;4519;2296;2296;2296;2296;2295;2296;2295;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1087;2147;3217;4326;5439;6557;7711;8918;10064;11195;12310;13428;14551;15674;16790;17898;19011;20117;21231;22357;23479;24594;25703;26810;27927;29037;30149;31034;31191
MEMORY;START;29;130;607;1101;1615;2093;3448;6660;5108;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2298;2296;2296;2296;23;END
TIME;0;1091;2152;3223;4312;5412;6524;7659;8835;10028;11179;12306;13427;14555;15682;16815;17943;19081;20201;21321;22444;23565;24681;25795;26908;28015;29125;30246;31354;32476;32492;33523
MEMORY;START;29;134;554;1003;1487;1925;2313;4400;6660;4517;2295;2296;2296;2296;2296;2296;2295;2295;2296;2295;2296;2296;2296;2296;2296;2296;2296;2296;2264;23;END
