TIME;0;1082;2132;3177;3805;4222
MEMORY;START;22;44;44;23;END
TIME;0;1087;2135;3179;4033;4222
MEMORY;START;22;57;44;23;END
TIME;0;1084;2126;3168;3942;4214
MEMORY;START;30;45;44;23;END
TIME;0;1087;2136;3178;4113;4222
MEMORY;START;29;50;44;23;END
TIME;0;1093;2144;3190;4047;4235
MEMORY;START;22;44;45;23;END
TIME;0;1086;2135;3175;4060;4224
MEMORY;START;22;45;44;23;END
TIME;0;1086;2144;3187;3794;4232
MEMORY;START;30;44;44;23;END
TIME;0;1087;2137;3182;3807;4227
MEMORY;START;30;44;48;23;END
TIME;0;1099;2144;3187;3931;4232
MEMORY;START;29;47;44;23;END
TIME;0;1086;2132;3178;3963;4222
MEMORY;START;29;43;44;23;END
