TIME;0;1448;2494;3529;4569;5603;6641;7598;7680
MEMORY;START;1301;1305;1303;2583;3863;2583;23;END
TIME;0;1088;2127;3159;4333;5369;6409;7445;8134;8487
MEMORY;START;28;1307;1305;2583;3863;3863;2583;23;END
TIME;0;1367;2415;3452;4489;5524;6558;7598;7817;8638
MEMORY;START;1308;1306;1305;2583;3863;2583;2648;23;END
TIME;0;1081;2128;3171;4495;5528;6570;7609;8042;8650
MEMORY;START;28;1306;1305;2583;3863;2583;2647;23;END
TIME;0;1084;2123;3158;4611;5644;6688;7731;8181;8771
MEMORY;START;28;1304;1304;2583;3863;2583;2647;23;END
TIME;0;1446;2490;3525;4563;5596;6639;7686;8178;8725
MEMORY;START;1301;1305;1305;2583;3863;2583;2647;23;END
TIME;0;1083;2124;3158;4535;5569;6635;7672;8264;8712
MEMORY;START;28;1304;1305;2583;3863;3867;2583;23;END
TIME;0;1522;2562;3597;4645;5679;6721;7755;8325;8795
MEMORY;START;1301;1308;1304;2583;3863;3863;2583;23;END
TIME;0;1075;2115;3147;4227;5270;6308;7352;7824;8391
MEMORY;START;28;1312;1304;2583;3863;2583;2647;23;END
TIME;0;1444;2486;3524;4561;6028;7065;7752;8105
MEMORY;START;1301;1305;1305;2583;3863;2583;23;END
