TIME;0;1079;2118;2864;3158
MEMORY;START;54;122;23;END
TIME;0;1070;2115;2908;3154
MEMORY;START;54;122;23;END
TIME;0;1081;2120;2812;3161
MEMORY;START;61;62;23;END
TIME;0;1068;2112;2982;3152
MEMORY;START;54;122;23;END
TIME;0;1066;2118;2789;3159
MEMORY;START;54;62;23;END
TIME;0;1069;2106;2845;3145
MEMORY;START;54;62;23;END
TIME;0;1082;2123;2844;3163
MEMORY;START;54;122;23;END
TIME;0;1066;2108;2793;3149
MEMORY;START;65;65;23;END
TIME;0;1081;2122;2887;3161
MEMORY;START;61;62;23;END
TIME;0;1077;2114;2860;3155
MEMORY;START;54;122;23;END
