TIME;0;1580;2617;3826;4870;5910;6972;8009;9042;10172;11207;12538;13578;14613;15648;16688;17727;18782;19952;20990;22457;23566;24603;25637;26675;27752;28910;29951;31118;32196;33230;34307;35345;36384;37423;38521;39616;40650;41687;42727;43769;44812;45850;45977;46894
MEMORY;START;1915;3191;4471;4472;4472;5751;5751;4471;5751;6359;6967;4471;5751;5751;4471;4471;4471;5751;6967;5751;5751;5751;4471;4471;6364;4476;5751;4476;5751;4471;5751;6359;4471;5751;4471;5751;4471;5751;6359;4471;5751;5751;23;END
TIME;0;1558;2596;3861;4903;5936;7320;8358;9453;10652;11690;13041;14081;15118;16279;17312;18347;19386;20479;21928;22966;23998;25035;26075;27113;28173;29317;30357;31486;32541;33581;34622;35664;36703;37746;38882;39916;40953;42036;43073;44123;45252;46167;46293
MEMORY;START;1915;3191;4471;4472;4473;5751;4471;4471;5751;6359;6967;4471;5751;5756;5751;4471;4471;6364;6967;5751;4471;5751;4471;4471;6359;4476;5751;4476;5751;4471;4471;6359;4471;5751;4476;5751;4471;5751;6359;4471;5751;23;END
TIME;0;1467;2502;3690;4731;5766;7062;8100;9149;10186;11268;12862;14076;15221;16334;17486;18523;19570;20613;22074;23117;24168;25205;26248;27295;28388;29562;30607;31703;32740;33779;34901;36104;37347;38389;39432;40489;41530;42581;43715;44897;45936;46980;47277;48021
MEMORY;START;1915;3191;4471;4472;4472;5751;4471;4476;5751;6364;6967;5756;5751;4471;5756;4471;4471;6359;4476;5751;5751;5751;4471;4471;6364;4476;5751;5751;5751;4471;4471;5751;6972;5751;5751;5751;4471;4471;5751;6972;5751;5751;23;END
TIME;0;1498;2541;3991;5032;6068;7163;8202;9388;10793;12441;13486;14526;15701;16736;17771;18809;19855;20889;21937;22985;24122;25155;26225;27266;28398;29437;30498;31536;32573;33611;34773;36234;37272;38369;39406;40444;41482;42637;43672;44712;45801;45921;46842
MEMORY;START;1915;3191;4471;4472;4472;5751;4471;4471;5751;6971;4471;5751;5751;5751;4471;4471;6359;6967;5751;5755;5755;4471;5751;6359;4471;5751;5751;5751;4471;4471;6363;6971;5751;5755;5751;4471;4471;6363;6967;5751;5755;23;END
TIME;0;1581;2621;3868;4914;5947;7042;8084;9119;10493;11652;13334;14373;15637;16673;17706;18747;19790;21011;22174;23214;24327;25381;26416;27566;28606;29647;30685;31726;32893;33929;34969;36012;37052;38090;39128;40265;41304;42346;43384;44469;45512;46490;46555
MEMORY;START;1915;3191;4471;4472;4473;5751;4471;4471;5751;6359;6967;4471;5751;5751;5751;4471;4471;6364;4471;5751;4471;5751;4471;5751;6359;4471;5751;5751;5756;4471;5751;6359;4471;5751;4471;5751;4471;4471;6359;4476;5751;23;END
TIME;0;1530;2564;3771;4816;5855;7043;8083;9118;10264;11532;13162;14210;15245;16279;17424;18470;19512;20669;22098;23145;24284;25321;26370;27408;28477;29513;30674;31730;32879;33918;34967;36004;37040;38173;39236;40274;41323;42496;43696;44734;45773;46955;47084;47996
MEMORY;START;1915;3191;4471;4472;4473;5751;4471;4471;5751;6359;6967;4471;5751;5751;5751;4471;4471;6363;6971;5751;5755;5751;4471;4471;5751;6967;5751;5755;5751;4471;4471;5751;6967;5751;5751;4471;4471;4471;6359;6967;5751;5751;23;END
TIME;0;1529;2567;3964;5015;6051;7088;8327;9363;10400;11441;12781;13820;14857;15891;16925;17974;19012;20061;21296;22429;23474;24597;25643;26687;27917;29065;30111;31221;32262;33303;34345;35463;36502;37544;38582;39618;40654;41691;42784;44477;45517;46559;46869;47600
MEMORY;START;1915;3191;4471;4472;4477;4473;5755;4471;5751;6359;6967;4471;5751;5751;5751;4471;4471;5755;6971;5755;5751;5751;4471;4471;6359;4475;5751;4475;5751;4471;4471;6363;6967;5751;5751;5751;4471;4471;5755;6967;5751;5751;23;END
TIME;1;1535;2570;3796;4841;5876;7272;8311;9420;10461;11499;12882;14086;15125;16275;17342;18380;19561;20600;21639;22679;23715;24752;25790;26828;28059;29606;30650;31786;32822;33864;34909;35979;37019;38060;39163;40200;41246;42285;43441;44479;45518;46623;46758;47664
MEMORY;START;1915;3191;4471;4472;4481;5751;4471;4476;5751;6359;6967;5756;5751;4471;5756;4471;5751;6359;4471;5751;5751;5751;4471;4471;6364;6972;5751;5751;5751;4471;4471;6364;6967;5751;5751;5751;4471;4471;6364;6967;5751;5751;23;END
TIME;0;1630;2681;3924;4969;6004;7046;8080;9115;10151;11338;12958;13997;15036;16072;17108;18142;19326;20492;21529;22685;23746;24860;25894;26932;28091;29134;30177;31215;32328;33373;34408;35443;37023;38067;39108;40143;41187;42336;43414;44455;45633;46684;47114;47725
MEMORY;START;1915;3191;4471;4472;4473;5751;4471;4471;5751;6363;6967;4471;5751;5751;4471;4471;4471;5751;6967;5751;5751;5751;4471;4471;6359;6967;5751;5751;5751;4471;4471;5751;6971;5751;5751;4471;4471;4475;5755;6967;5755;5755;23;END
TIME;0;1484;2524;3878;4917;5950;6985;8024;9061;10099;11138;12295;13340;14381;15418;16458;17495;18528;19620;20661;21786;22832;23868;24904;25943;26978;28016;29054;30103;31139;32174;33214;34253;35447;36487;37525;38626;39663;40701;41739;42790;44202;45248;46407;46549;47447
MEMORY;START;1915;3191;4471;4472;4472;5751;4471;4471;5751;6363;6971;4471;5751;5751;4471;5751;4471;5751;6359;6967;5751;5755;5751;4471;4471;6359;4471;5751;5751;5751;4471;4471;6363;6967;5751;5755;5751;4471;4471;5755;6971;5751;5755;23;END
