TIME;0;1084;2127;3009;3178
MEMORY;START;22;46;23;END
TIME;0;1087;2129;2950;3177
MEMORY;START;22;43;23;END
TIME;0;1089;2140;2929;3183
MEMORY;START;30;43;23;END
TIME;1;1089;2133;3042;3176
MEMORY;START;29;43;23;END
TIME;0;1098;2138;2945;3180
MEMORY;START;22;43;23;END
TIME;1;1091;2134;2948;3180
MEMORY;START;30;43;23;END
TIME;0;1091;2138;2887;3183
MEMORY;START;30;56;23;END
TIME;0;1091;2140;2959;3187
MEMORY;START;23;50;23;END
TIME;0;1090;2142;2971;3184
MEMORY;START;30;43;23;END
TIME;1;1089;2137;2963;3182
MEMORY;START;30;43;23;END
