TIME;0;1095;2139;3188;3856;4233
MEMORY;START;22;29;80;25;END
TIME;0;1080;2131;3179;3854;4224
MEMORY;START;21;29;77;25;END
TIME;0;1087;2135;3181;3626;4228
MEMORY;START;30;32;74;25;END
TIME;0;1083;2125;3174;3625;4220
MEMORY;START;29;34;68;25;END
TIME;0;1086;2132;3182;3762;4228
MEMORY;START;29;29;77;25;END
TIME;0;1087;2129;3180;3870;4227
MEMORY;START;29;34;67;25;END
TIME;0;1089;2130;3180;3915;4226
MEMORY;START;21;29;79;25;END
TIME;0;1084;2127;3186;3617;4232
MEMORY;START;29;29;74;25;END
TIME;0;1093;2137;3182;3706;4237
MEMORY;START;21;30;63;25;END
TIME;0;1089;2134;3186;3636;4233
MEMORY;START;22;30;60;25;END
