TIME;0;1109;2154;2491;3201
MEMORY;START;23;32;23;END
TIME;0;1088;2130;2537;3173
MEMORY;START;28;32;23;END
TIME;1;1118;2171;2414;3214
MEMORY;START;24;32;23;END
TIME;0;1088;2133;2556;3175
MEMORY;START;24;32;23;END
TIME;0;1103;2145;2592;3188
MEMORY;START;29;32;23;END
TIME;0;1118;2162;2520;3205
MEMORY;START;29;32;23;END
TIME;0;1083;2132;2738;3176
MEMORY;START;27;32;23;END
TIME;0;1090;2134;2724;3182
MEMORY;START;21;32;23;END
TIME;0;1076;2116;2521;3159
MEMORY;START;24;32;23;END
TIME;0;1097;2143;2447;3192
MEMORY;START;31;32;23;END
