TIME;0;1090;2152;3237;4305;5373;6443;7509;8571;9634;10385;10680
MEMORY;START;20;175;1033;822;467;467;467;467;467;23;END
TIME;0;1084;2147;3219;4291;5352;6430;7494;8568;9636;10209;10681
MEMORY;START;28;140;843;822;467;467;467;467;467;23;END
TIME;0;1088;2160;3240;4299;5363;6427;7497;8561;9625;10235;10669
MEMORY;START;28;316;1216;467;467;467;467;467;467;23;END
TIME;0;1083;2145;3232;4302;5367;6439;7501;8578;9636;10146;10680
MEMORY;START;21;146;813;822;467;467;467;467;463;23;END
TIME;0;1082;2155;3238;4305;5376;6442;7507;8575;9642;10487;10684
MEMORY;START;21;255;983;824;467;467;467;467;467;23;END
TIME;0;1093;2159;3249;4320;5380;6454;7528;8595;9669;10331;10711
MEMORY;START;29;258;1216;822;467;467;467;467;467;23;END
TIME;0;1088;2166;3249;4321;5388;6459;7527;8590;9666;9868;10708
MEMORY;START;29;269;1216;467;467;467;467;467;467;23;END
TIME;0;1087;2147;3236;4296;5365;6430;7487;8551;9626;9741;10671
MEMORY;START;33;314;917;467;467;467;467;467;467;23;END
TIME;0;1101;2172;3257;4336;5402;6473;7541;8605;9682;10458;10722
MEMORY;START;29;181;1088;822;467;467;467;467;467;23;END
TIME;1;1090;2154;3226;4306;5365;6432;7503;8570;9646;10304;10688
MEMORY;START;29;217;957;822;467;467;467;467;467;23;END
