TIME;0;1088;2139;3185;4133;4228
MEMORY;START;22;42;44;23;END
TIME;0;1084;2127;3172;3958;4217
MEMORY;START;23;43;45;23;END
TIME;0;1082;2132;3172;4168;4214
MEMORY;START;22;42;45;23;END
TIME;1;1091;2141;3185;4052;4229
MEMORY;START;29;51;45;23;END
TIME;0;1083;2130;3171;4212;4225;5265
MEMORY;START;29;43;44;35;23;END
TIME;0;1083;2130;3174;4151;4216
MEMORY;START;22;50;44;23;END
TIME;0;1102;2158;3210;4118;4253
MEMORY;START;23;42;44;23;END
TIME;0;1087;2131;3172;4004;4216
MEMORY;START;22;43;45;23;END
TIME;1;1086;2141;3182;3905;4227
MEMORY;START;29;45;45;23;END
TIME;0;1091;2143;3185;4096;4228
MEMORY;START;30;50;44;23;END
