TIME;0;1089;2131;3099;3179
MEMORY;START;30;44;23;END
TIME;0;1032;2108;3018;3152
MEMORY;START;30;44;23;END
TIME;0;1091;2139;2909;3181
MEMORY;START;23;49;23;END
TIME;0;1129;2172;2976;3215
MEMORY;START;30;43;23;END
TIME;0;1085;2132;2999;3177
MEMORY;START;30;43;23;END
TIME;1;1105;2146;3118;3190
MEMORY;START;23;46;23;END
TIME;0;1086;2128;2900;3172
MEMORY;START;22;47;23;END
TIME;0;1093;2133;3042;3176
MEMORY;START;30;46;23;END
TIME;0;1138;2190;3082;3235
MEMORY;START;30;43;23;END
TIME;0;1080;2129;3013;3174
MEMORY;START;22;47;23;END
