TIME;0;1090;2142;3185;4226;5268;6036;6316
MEMORY;START;29;59;42;41;37;24;END
TIME;0;1088;2149;3186;4230;5274;5522;6321
MEMORY;START;29;70;39;41;31;24;END
TIME;0;1088;2145;3187;4229;5271;5735;6319
MEMORY;START;22;66;39;43;36;24;END
TIME;0;1102;2144;3188;4232;5275;5820;6327
MEMORY;START;22;38;40;42;37;24;END
TIME;0;1100;2157;3202;4252;5296;5584;6346
MEMORY;START;22;68;39;45;41;24;END
TIME;0;1081;2125;3169;4161;4216
MEMORY;START;34;40;40;24;END
TIME;0;1087;2136;3175;4221;5264;5394;6313
MEMORY;START;29;38;39;43;32;24;END
TIME;0;1136;2179;3230;4271;5316;6023;6366
MEMORY;START;29;49;41;42;38;24;END
TIME;0;1092;2132;3178;4227;5271;5462;6320
MEMORY;START;29;38;40;43;32;24;END
TIME;0;1088;2134;3176;4219;5262;5548;6310
MEMORY;START;30;38;40;42;32;24;END
