TIME;0;1077;2117;2486;3161
MEMORY;START;26;32;23;END
TIME;0;1087;2140;2532;3190
MEMORY;START;21;32;23;END
TIME;0;1093;2141;2675;3185
MEMORY;START;29;32;23;END
TIME;0;1084;2124;2959;3167
MEMORY;START;28;32;23;END
TIME;0;1085;2131;2664;3176
MEMORY;START;21;32;23;END
TIME;0;1083;2123;2478;3169
MEMORY;START;25;32;23;END
TIME;0;1097;2137;2608;3186
MEMORY;START;29;35;23;END
TIME;0;1085;2128;2635;3171
MEMORY;START;21;32;23;END
TIME;0;1073;2113;2621;3158
MEMORY;START;38;35;23;END
TIME;0;1084;2129;2708;3173
MEMORY;START;29;32;23;END
