TIME;0;1086;2134;3180;3650;4225
MEMORY;START;21;32;32;23;END
TIME;0;1088;2136;3176;3934;4220
MEMORY;START;22;31;32;23;END
TIME;0;1091;2139;3182;3534;4228
MEMORY;START;28;32;32;23;END
TIME;0;1073;2117;3161;3766;4205
MEMORY;START;21;38;32;23;END
TIME;0;1086;2134;3175;3610;4221
MEMORY;START;32;32;32;23;END
TIME;0;1069;2117;3157;3589;4204
MEMORY;START;23;32;32;23;END
TIME;0;1094;2137;3176;4110;4219
MEMORY;START;20;29;32;23;END
TIME;0;1098;2151;3194;3582;4239
MEMORY;START;22;32;32;23;END
TIME;1;1085;2128;3173;3860;4218
MEMORY;START;21;40;32;23;END
TIME;0;1087;2128;3170;3759;4213
MEMORY;START;21;40;32;23;END
