TIME;0;1092;2129;3165;4202;4294;5242
MEMORY;START;20;280;791;544;23;END
TIME;0;1098;2136;3171;4212;4543;5252
MEMORY;START;28;281;791;544;23;END
TIME;0;1086;2122;3154;4191;4272;5230
MEMORY;START;20;281;791;544;23;END
TIME;0;1090;2127;3163;4201;4538;5242
MEMORY;START;28;281;791;544;23;END
TIME;0;1087;2124;3156;4199;4357;5239
MEMORY;START;20;280;791;544;23;END
TIME;0;1089;2126;3163;4200;4409;5241
MEMORY;START;30;280;791;544;23;END
TIME;0;1089;2127;3161;4196;4221;5235
MEMORY;START;23;280;791;288;23;END
TIME;0;1086;2131;3162;4200;4351;5239
MEMORY;START;22;280;791;544;23;END
TIME;1;1098;2139;3175;4214;4473;5255
MEMORY;START;20;281;791;544;23;END
TIME;0;1081;2118;3152;4184;4204;5224
MEMORY;START;20;280;791;294;23;END
