TIME;0;1091;2135;2974;3175
MEMORY;START;54;122;23;END
TIME;0;1098;2141;3177;3212;4220
MEMORY;START;59;94;58;23;END
TIME;0;1070;2113;2906;3160
MEMORY;START;54;122;23;END
TIME;0;1090;2129;3165;3193;4205
MEMORY;START;20;94;58;23;END
TIME;0;1080;2125;3061;3163
MEMORY;START;20;94;23;END
TIME;0;1082;2127;2944;3166
MEMORY;START;54;122;23;END
TIME;0;1091;2142;3097;3180
MEMORY;START;27;122;23;END
TIME;0;1116;2156;2998;3195
MEMORY;START;54;122;23;END
TIME;0;1083;2128;2970;3167
MEMORY;START;54;122;23;END
TIME;0;1097;2144;3081;3183
MEMORY;START;54;122;23;END
