TIME;0;1734;2869;4120;5161;6195;7228;8268;9301;10360;11664;13250;14403;15496;16580;17637;18674;19775;20820;22090;23134;24201;25239;26275;27314;28389;30029;31070;32242;33279;34315;35355;36439;37474;38584;39754;40930;41966;43006;44042;45234;46274;47328;47473;48371
MEMORY;START;1915;3191;4471;4472;4472;5751;4471;4471;5751;6359;6967;5751;5751;4471;5751;4471;5751;6359;6972;5751;5756;5751;4471;4471;5756;6967;5751;5756;5751;4471;4471;5751;6967;5756;5756;5751;4471;4471;5751;6972;5751;5751;23;END
TIME;0;1086;2131;3173;4209;5255;6293;7328;8373;9406;10566;11613;13046;14083;15222;16391;17430;18466;19517;20561;21602;22641;23757;24799;25833;26870;27909;28950;29996;31042;32078;33117;34157;35210;36389;37429;38476;39637;40674;41717;42850;43994;45034;46095;46230;47136
MEMORY;START;27;1911;3191;4471;4472;4472;5751;4471;4471;5751;6359;6967;4471;5751;4471;5751;4471;5751;6359;4471;5751;4471;5751;4471;5751;6359;4471;5751;5751;5751;4471;4471;5751;6967;5751;5756;5751;4471;4471;6364;4471;5751;5751;23;END
TIME;0;1608;2727;4181;5226;6262;7300;8338;9373;10640;11677;12716;14278;15414;16453;17555;18591;19632;20672;21812;23343;24386;25541;26578;27618;28665;29701;30750;31913;32955;34111;35158;36210;37379;38415;39459;40591;41628;42670;43710;44843;46315;47365;48565;48716;49605
MEMORY;START;1915;3191;4471;4472;4471;4472;5751;4471;4471;5751;6359;6967;5751;5751;5751;5751;4471;4471;6364;6967;5751;5756;5751;4471;4471;5756;6972;5751;5751;5751;4471;4471;6364;6967;5751;5751;5751;4471;4471;5751;6967;5751;5751;23;END
TIME;0;1585;2674;3999;5044;6083;7120;8269;9307;10344;11383;12477;13868;14971;16037;17072;18112;19149;20193;21230;22268;23421;24463;25663;26705;27749;28790;29826;31170;32324;33477;34513;35592;36766;37802;38913;39957;40994;42028;43072;44120;45157;46309;47385;47792;48428
MEMORY;START;1915;3191;4471;4473;4472;4473;5751;4471;4471;5751;6364;6967;5756;5751;5751;5751;4471;4471;5751;6967;5756;5751;5751;4471;4471;5751;6967;5756;5756;5751;4471;4471;5756;6967;5756;5756;4471;4471;4471;5751;6967;5751;5756;23;END
TIME;0;1593;2641;3868;4914;5951;7015;8054;9090;10153;11438;13033;14079;15120;16156;17192;18238;19336;20482;21994;23192;24229;25365;26406;27446;28554;29698;30740;31787;32825;33866;34905;35944;37007;38046;39097;40134;41172;42209;43385;44428;45474;46624;46770;47667
MEMORY;START;1915;3191;4471;4472;4473;5751;5751;4471;5751;6359;6967;4471;5751;5751;4471;4471;4471;5755;6971;5751;5755;5751;4471;4471;6359;4471;5751;3191;5751;4471;4471;6359;4471;5751;3191;5751;4471;4471;6363;6967;5751;5751;23;END
TIME;0;1565;2720;4050;5109;6141;7307;8377;9412;10552;11721;13253;14295;15329;16389;17424;18468;19511;20652;22154;23198;24287;25323;26359;27397;28436;29681;30723;31762;32966;34005;35045;36083;37201;38246;39288;40456;41497;42551;43602;44764;45807;46852;47156;47894
MEMORY;START;1915;3191;4471;4472;4472;5751;5751;4471;5751;6359;6967;4471;5751;5755;5751;4471;4471;6359;6967;5751;5755;5751;4471;4471;5751;6971;5751;5751;5751;4471;4471;6359;6967;5751;5751;5751;4471;4471;5751;6967;5751;5751;23;END
TIME;0;1639;2777;3950;4987;6023;7063;8098;9134;10168;11214;12744;13926;15033;16063;17095;18132;19174;20238;21549;22588;23635;24672;25713;26752;27790;29511;30550;31588;32626;33661;34699;35755;36792;37935;38976;40159;41205;42249;43400;44436;45476;46553;46701;47594
MEMORY;START;1915;3191;4471;4472;4473;5751;5751;4471;5751;6359;6967;5755;5751;3191;5751;4471;4471;6363;6967;5751;5751;5751;4471;4471;5751;6967;5751;5751;5751;4471;4471;5751;6967;5751;5751;5751;4471;4471;6363;6967;5751;5751;23;END
TIME;0;1579;2640;4091;5147;6179;7675;8717;9753;10827;11871;13421;14468;15514;16681;17718;18754;19794;20831;22268;23312;24347;25383;26422;27461;28536;29574;30742;31782;32958;33996;35081;36118;37299;38348;39387;40496;41534;42571;43730;44919;45965;47092;47230;48134
MEMORY;START;1916;3191;4471;4472;4472;5751;4471;4471;5751;6359;6967;4471;5751;5751;5751;4471;4471;6359;6967;5751;3191;5751;4471;4471;5755;6967;5755;5751;5751;4471;4471;5751;6967;5755;5751;5751;4471;4471;5751;6971;5751;5751;23;END
TIME;0;1081;2126;3166;4200;5246;6281;7319;8354;9449;10482;11518;12876;13914;15063;16097;17130;18171;19209;20329;21849;22887;23939;24976;26024;27067;28101;29762;30807;31855;32893;33935;34973;36011;37178;38314;39360;40538;41573;42611;43652;44783;45821;46672;46862
MEMORY;START;20;1911;3191;4471;4472;4472;5751;4471;4471;5751;6359;6967;4471;5751;5751;5751;4471;4471;6359;6967;5751;5755;5751;4471;4471;5751;6971;5751;5751;4471;4471;4471;5751;6967;5755;5751;5751;4471;4471;6359;4471;5751;23;END
TIME;0;1618;2714;3941;4982;6016;7113;8156;9193;10232;11269;12393;13467;14506;15550;16588;17625;18662;20096;21135;22177;23342;24377;25481;26659;27699;28872;29931;31096;32135;33174;34341;35378;36417;37524;38561;39603;40642;41762;42804;43844;44962;45095;46002
MEMORY;START;1915;3191;4471;4472;4473;5751;4471;4471;5751;6359;6967;5751;5751;4471;5751;4471;5751;6967;5751;5751;5751;4471;4471;5756;6967;5751;5756;5751;4471;4471;6359;6967;5751;5756;5751;4471;4471;6364;6967;5751;5756;23;END
